open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
106051.68,106377.66,104768.15,105096.62,107795.0609480744,108716.49904449751,32.98513777572933,1414.1642925942278,BTC,2025-05-30 04:00:00
105087.27,106019.0,104639.0,105901.75,107649.42164437639,108606.11672902702,38.972603833643426,1409.6090535816643,BTC,2025-05-30 08:00:00
105901.75,106031.78,105052.01,105558.64,107488.59228711667,108486.60783769263,37.43752353434236,1352.2971797707764,BTC,2025-05-30 12:00:00
105558.64,105579.93,103664.03,104651.99,107270.39211118461,108336.23066758705,33.66414607048341,1427.4442224680054,BTC,2025-05-30 16:00:00
104647.14,104918.57,103634.48,104033.26,107021.3819487858,108167.48671983853,31.342465402553614,1408.3303261389397,BTC,2025-05-30 20:00:00
104033.0,104334.23,103110.01,103719.33,106767.37795272536,107993.0492014135,30.204263107990073,1383.7822826537479,BTC,2025-05-31 00:00:00
103719.34,103963.11,103532.21,103808.19,106539.74811020803,107828.93707586787,30.968436973311285,1256.7313116332473,BTC,2025-05-31 04:00:00
103808.2,103869.25,103313.31,103546.34,106309.48594788434,107660.99209250051,29.928564404325797,1163.292470082148,BTC,2025-05-31 08:00:00
103546.34,104921.43,103526.86,104609.23,106178.69702881633,107541.31514769657,38.897488044927094,1194.129474071194,BTC,2025-05-31 12:00:00
104607.5,104850.0,104313.57,104767.76,106070.16341121508,107432.54827915945,40.1284027988387,1106.4362108617004,BTC,2025-05-31 16:00:00
104767.77,104965.5,104522.68,104645.87,105960.60237958316,107323.26677801595,39.470021365855736,1017.9540494134746,BTC,2025-05-31 20:00:00
104645.87,104708.44,103976.1,104429.76,105842.84527346138,107209.79592397611,38.27110691787329,979.8721761583442,BTC,2025-06-01 00:00:00
104429.76,104800.0,104246.72,104339.62,105727.2125601182,107097.24000538881,37.75595693678659,922.9932193372316,BTC,2025-06-01 04:00:00
104335.98,104520.49,103808.08,104148.26,105605.75467087835,106981.59373066768,36.62875150580542,894.9154567589346,BTC,2025-06-01 08:00:00
104148.26,104875.46,103800.81,104767.63,105541.28354234925,106894.77162358268,42.60184372387467,918.8800625244112,BTC,2025-06-01 12:00:00
104767.62,105365.0,104395.06,105179.12,105513.4248083224,106827.49116775591,46.22808160412421,925.6880541878234,BTC,2025-06-01 16:00:00
105179.12,105937.46,104931.69,105697.94,105527.6182846053,106783.1950435302,50.4763603978758,936.3656469627808,BTC,2025-06-01 20:00:00
105697.93,105788.12,104603.49,104885.77,105478.24533963566,106708.78621829371,44.543589141730806,969.4675607010754,BTC,2025-06-02 00:00:00
104885.77,105495.99,104667.29,105446.88,105475.83262120215,106659.29969992925,49.003212098967865,950.6985526076003,BTC,2025-06-02 04:00:00
105446.83,106000.0,103974.2,104085.64,105368.89472726353,106558.37186855948,40.49530991881453,1094.0454122599208,BTC,2025-06-02 08:00:00
104080.89,104740.14,103685.23,104500.0,105302.0566713202,106477.65140312578,43.69963769625725,1088.827357291932,BTC,2025-06-02 12:00:00
104499.99,104798.86,104076.48,104470.22,105238.0692350648,106398.92860300321,43.51825794939105,1039.9677096530083,BTC,2025-06-02 16:00:00
104466.81,106000.0,104466.81,105904.94,105289.36698621367,106379.55650092466,53.526228444756995,1105.7306816992743,BTC,2025-06-02 20:00:00
105909.79,106597.45,105407.57,105556.21,105309.89337188956,106347.2684028492,51.153645712513956,1116.9505908060364,BTC,2025-06-03 00:00:00
105556.2,105585.82,105178.45,105233.05,105303.98234328268,106303.57356352179,48.98671028345665,1022.3398453652329,BTC,2025-06-03 04:00:00
105233.05,105422.84,104910.01,105352.02,105307.67754764557,106266.25773750132,49.82931513241921,954.4051993165355,BTC,2025-06-03 08:00:00
105352.02,106901.68,105094.61,106702.16,105414.94542859591,106283.35194387383,58.25606389551298,1068.0938394076632,BTC,2025-06-03 12:00:00
106702.15,106764.98,105647.52,106301.7,105483.15731870393,106284.07147548662,55.28973341296126,1074.6759941533069,BTC,2025-06-03 16:00:00
106304.14,106329.95,105325.2,105447.82,105480.43906341902,106251.27729997734,49.501820958291326,1065.3525282661992,BTC,2025-06-03 20:00:00
105443.95,105908.07,105174.39,105591.68,105488.99605854064,106225.41073919392,50.44308106624484,1021.1295244973736,BTC,2025-06-04 00:00:00
105591.68,105700.56,105316.7,105371.91,105479.9894386529,106191.94012197063,48.94225304732027,936.1602545643906,BTC,2025-06-04 04:00:00
105371.91,106058.47,105136.5,105143.88,105454.13486644885,106150.83972503062,47.3674803746194,934.268220622472,BTC,2025-06-04 08:00:00
105150.0,105611.83,104202.0,105353.24,105446.37372287587,106119.56130444119,48.99031026908412,997.6764578728094,BTC,2025-06-04 12:00:00
105353.25,105547.59,104915.0,104961.64,105409.08651342388,106074.15262583566,46.125514177148254,948.9982634897676,BTC,2025-06-04 16:00:00
104968.19,105110.19,104462.25,104753.38,105358.64755085282,106022.35762090093,44.630773665781064,908.8571616911322,BTC,2025-06-04 20:00:00
104753.37,105305.26,104696.54,105087.89,105337.82004694107,105985.711831846,47.569739420003685,868.8388734656481,BTC,2025-06-05 00:00:00
105087.89,105289.14,104401.49,104570.76,105278.8154279456,105930.22352471478,43.70735164723865,871.3470236702276,BTC,2025-06-05 04:00:00
104570.77,104975.34,104461.76,104875.47,105247.78885656518,105888.86064139263,46.46557783822813,823.6447538475309,BTC,2025-06-05 08:00:00
104875.46,105999.68,103910.44,104572.7,105195.85894452172,105837.24649859293,44.150707442549965,992.3907866678588,BTC,2025-06-05 12:00:00
104572.69,104638.54,101603.01,101908.77,104943.00594878929,105683.18859668732,29.992624326439227,1264.8093484454776,BTC,2025-06-05 16:00:00
101917.65,102185.14,100345.73,101570.2,104683.55933734396,105521.894926229,28.731562488062167,1341.4227686527477,BTC,2025-06-05 20:00:00
101570.2,102600.28,101132.91,102556.01,104519.90169600982,105405.5857134357,37.03318651509473,1358.2157328323806,BTC,2025-06-06 00:00:00
102556.06,103541.03,102446.39,103214.54,104419.48925785522,105319.6623521245,41.90169895870266,1323.0723017880632,BTC,2025-06-06 04:00:00
103214.54,104079.99,103214.54,104005.75,104387.66316109714,105268.1363775314,47.18541341876521,1262.0559948829896,BTC,2025-06-06 08:00:00
104005.77,105439.01,103603.36,105182.17,104448.77907178197,105264.76514703996,53.89882423348488,1338.535195565257,BTC,2025-06-06 12:00:00
105187.21,105405.68,104131.65,104304.24,104437.6606816449,105227.09749421486,48.90300141011656,1329.9345028232226,BTC,2025-06-06 16:00:00
104309.01,104704.42,104249.99,104397.99,104434.60909074916,105194.58347483388,49.44190921298411,1213.2005691134589,BTC,2025-06-06 20:00:00
104398.0,105028.65,103969.7,104972.65,104475.99685299923,105185.88020131098,52.73272818878599,1192.6338265649972,BTC,2025-06-07 00:00:00
104972.65,105421.5,104730.01,104955.07,104512.84863353775,105176.82882086742,52.61989006677333,1125.814649689665,BTC,2025-06-07 04:00:00
104954.79,105370.91,104772.43,105208.82,104566.3848924964,105178.08337691183,54.145112229353494,1055.5033630643777,BTC,2025-06-07 08:00:00
105208.82,105889.42,105208.82,105628.18,104648.06143922744,105195.73422487608,56.629920573410125,1005.5162479891262,BTC,2025-06-07 12:00:00
105628.17,105954.82,105324.09,105786.47,104735.63132851764,105218.90033370449,57.564650619533275,955.5447482572441,BTC,2025-06-07 16:00:00
105788.47,106000.0,105588.62,105619.02,104803.58430324707,105234.5913010102,56.18511283811411,882.9894484896122,BTC,2025-06-07 20:00:00
105619.02,105842.42,105451.72,105548.75,104860.90474145884,105246.9112499902,55.58312163535921,817.3508553576635,BTC,2025-06-08 00:00:00
105548.74,105700.0,105462.19,105485.5,104908.95053057741,105256.26767155921,55.01177482962905,740.0787413099748,BTC,2025-06-08 04:00:00
105485.51,105774.4,105028.3,105727.02,104971.87895130223,105274.72854718434,56.83631180914221,740.8815758019771,BTC,2025-06-08 08:00:00
105726.96,106181.3,105572.53,106039.35,105053.99210889438,105304.71370219672,59.14388840470392,723.2666990283807,BTC,2025-06-08 12:00:00
106039.34,106420.0,106003.64,106367.49,105155.03040821021,105346.39120407136,61.47422734491414,682.3458058245966,BTC,2025-06-08 16:00:00
106367.5,106548.9,105613.03,105784.4,105203.4434537325,105363.56801959797,55.42463631285468,716.1490317146498,BTC,2025-06-08 20:00:00
105784.41,106035.51,105368.27,105720.87,105243.24549575309,105377.57986196667,54.791965553391606,709.6278274860287,BTC,2025-06-09 00:00:00
105720.86,105785.14,105375.01,105614.48,105271.80199607978,105386.87006345818,53.686745826024776,669.6947838212255,BTC,2025-06-09 04:00:00
105614.48,107862.0,105525.61,107817.21,105467.60261176596,105482.17751195001,68.05444729377128,891.9208126450621,BTC,2025-06-09 08:00:00
107818.56,108091.2,106920.32,107689.6,105638.52548778398,105568.74309971668,66.76227258912911,929.1153709590526,BTC,2025-06-09 12:00:00
107693.0,108858.82,107693.0,108679.24,105872.42660410829,105690.72337031603,71.31160970241693,961.1293214978458,BTC,2025-06-09 16:00:00
108651.14,110651.12,108514.17,110301.15,106213.0976345615,105871.52441461738,76.89353998244343,1117.9054119647994,BTC,2025-06-09 20:00:00
110299.69,110371.19,109401.47,109614.65,106474.75550882601,106018.31365325984,70.62938988858937,1098.1473570361597,BTC,2025-06-10 00:00:00
109614.66,109786.73,109150.25,109268.31,106689.64431583941,106145.76449038691,67.63577740890564,1036.591709431338,BTC,2025-06-10 04:00:00
109268.31,109898.28,109100.01,109581.05,106912.06013769792,106280.48156919527,68.91692613462439,1004.81548150716,BTC,2025-06-10 08:00:00
109585.04,109927.98,108362.14,109047.05,107076.29012710578,106388.97444883468,64.24078392806913,1079.6187506395383,BTC,2025-06-10 12:00:00
109047.05,110420.08,108541.72,109533.92,107265.33857886688,106512.3056469196,66.47433387384282,1186.1175838876,BTC,2025-06-10 16:00:00
109533.92,110321.0,109265.01,110300.24,107498.79253433866,106660.85209213845,69.68401033981506,1168.7672393692542,BTC,2025-06-10 20:00:00
110300.25,110306.91,109558.91,109742.64,107671.39618554339,106781.70651989774,64.82108682617539,1112.6649407866869,BTC,2025-06-11 00:00:00
109742.64,109768.15,109382.16,109458.26,107808.84724819391,106886.66940147038,62.42828530052982,1015.7749486817941,BTC,2025-06-11 04:00:00
109458.74,109692.1,109197.89,109246.31,107919.42130602515,106979.20432690292,60.631855374964736,946.2329555242223,BTC,2025-06-11 08:00:00
109246.31,110435.05,109021.41,109752.95,108060.46197479246,107087.97866702439,63.34697771438723,1008.5538947876594,BTC,2025-06-11 12:00:00
109752.94,109854.44,108431.4,108768.9,108114.95720750073,107153.8971506705,55.360635810176746,1063.8187088159725,BTC,2025-06-11 16:00:00
